,,,,,,
,,,,,,
,,Item,Quantity,Unit price,Total price,Link
,,Arduino Nano V3.0,1,0.9900$,0.9900$,https://www.aliexpress.us/item/3256806880365712.html
,,Peltier Heat&cool,1,8.9900$,8.9900$,https://www.amazon.com/gp/product/B0CBDNS9H6/ref=ox_sc_act_image_5?smid=A1YZW40LYQY3L1&psc=1
,,LCD screen,1,8.9500$,8.9500$,https://www.amazon.com/gp/product/B0FB8NK5X9/ref=ox_sc_act_image_4?smid=ACSUDGHCXWYXE&psc=1
,,Buzzer,1,0.9200$,0.9200$,https://www.lcsc.com/product-detail/C96093.html?s_z=n_buzzer%2520&spm=wm.ssy.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZVlZRT1JdXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
,,ST VNH7040AYTR,1,2.8334$,2.8334$,https://www.lcsc.com/product-detail/C2969764.html?s_z=n_C2969764
,,IRLB8721PBF,1,2.9100$,2.9100$,https://www.lcsc.com/product-detail/C153222.html?s_z=n_IRLB8721PBF&spm=wm.ssy.bg.0.stp&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZVVZUQ1FZVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1hYUFxIHxUDCw%3D%3D
,,LM2596S-5.0,1,1.4200$,1.4200$,https://www.lcsc.com/product-detail/C116713.html?s_z=n_LM2596S-5&spm=wm.ssy.bg.17.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZVVdQR1leVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRdVVZUWQkaCgg%3D
,,1N5822,20,0.0295$,0.5900$,https://www.lcsc.com/product-detail/C8678.html
,,MBR1060,1,1.0500$,1.0500$,https://www.digikey.com/en/products/detail/smc-diode-solutions/MBR1060/6022112
,,1N4001,1,0.0125$,0.0125$,https://www.lcsc.com/product-detail/C2909965.html?s_z=n_1N4001%2520SMA&spm=wm.ssy.bg.0.stp&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZX1dWQlNYVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlNcV1xSQE8GEwkK
,,Inductior,5,0.4700$,2.3500$,https://www.aliexpress.us/item/3256806685342889.html?spm=a2g0o.productlist.main.12.1366NosVNosVq2&aem_p4p_detail=2026032520020429883245200005387612&algo_pvid=97f22856-3b19-4fef-bfd2-4bf9274de420&algo_exp_id=97f22856-3b19-4fef-bfd2-4bf9274de420-11&pdp_ext_f=%7B%22order%22%3A%22329%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.65%212.12%21%21%2124.99%2114.49%21%40210319b717744941239405590edf78%2112000048139085932%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895&curPageLogUid=fgRSBES7zEeR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006871657641%7C_p_origin_prod%3A&search_p4p_id=2026032520020429883245200005387612_3
,,Fuse,1,3.4800$,3.4800$,https://www.aliexpress.us/item/3256806025997155.html?spm=a2g0o.productlist.main.56.1ac9LaJjLaJjr7&algo_pvid=0189df5a-8dee-4a5d-a878-57a304126119&algo_exp_id=0189df5a-8dee-4a5d-a878-57a304126119-53&pdp_ext_f=%7B%22order%22%3A%2279%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.96%213.37%21%21%213.96%213.37%21%40210328df17745140564693844ebf1b%2112000036301987708%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895&curPageLogUid=mMCqISV6gF1x&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006212311907%7C_p_origin_prod%3A
,,10K Resitor,100,0.0023$,0.23,https://www.lcsc.com/product-detail/C84376.html?s_z=n_10K%2520Resistor%25200805&spm=wm.ssy.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1RfUFBWRVZdXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVheXl1QQk8GEwkK
,,1K Resit,100,0.0025$,0.25,https://www.lcsc.com/product-detail/C95781.html?s_z=n_RC0805FR-071KL&spm=wm.ssy.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1RfUFxVQlZfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVNbU1xIHxUDCw%3D%3D
,,3.3K Resitor,100,0.0020$,0.21,https://www.lcsc.com/product-detail/C2907249.html?s_z=n_3.3K%2520Resistor%25200805
,,220 Ohm Resitor,100,0.0024$,0.24,https://www.lcsc.com/product-detail/C17557.html?s_z=n_220%25CE%25A9%2520Resistor%25200805
,,100 ohm resitor,100,0.0021$,0.21,https://www.lcsc.com/product-detail/C17408.html?s_z=n_100%25CE%25A9%2520Resistor%25200805
,, 0.1µF Captior,100,0.0051$,0.51,https://www.lcsc.com/product-detail/C49678.html?s_z=n_LCSC%2520C49678
,, 220uF Capatior,20,0.0339$,0.68,https://www.lcsc.com/product-detail/C4747974.html?s_z=n_220uF%252025V%2520radial%2520D8
,,470uF Capatior,5,0.0800$,0.4,https://www.lcsc.com/product-detail/C48935394.html?s_z=n_470uF%252025V%2520SMD%2520electrolytic
,,Termnial Block,5,0.0904$,0.45,https://www.lcsc.com/product-detail/C394556.html?s_z=n_JILN%2520JL126-50002G01
,,Female 11 pin header,1,1.6100$,1.61,https://www.ebay.com/itm/177501535604?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&utm_source=chatgpt.com
,,Buttons,20,0.0495$,0.99,https://www.aliexpress.us/item/3256801626723541.html?spm=a2g0o.productlist.main.1.12b8ACLcACLcGX&algo_pvid=e552acac-1c79-4230-9300-d981c55b0141&algo_exp_id=e552acac-1c79-4230-9300-d981c55b0141-0&pdp_ext_f=%7B%22order%22%3A%2234%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.27%210.99%21%21%212.27%210.99%21%402101e80f17745569390607873e73cb%2112000017946375833%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847505&curPageLogUid=1eLJ6XUF45iq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001813038293%7C_p_origin_prod%3A
,,100uF Capatior,1,0.0610$,0.61,https://www.lcsc.com/product-detail/C15008.html?s_z=n_Samsung%25201206%2520SMD
